Name,US dollar,Euro,Japanese yen,Pound sterling,Canadian dollar,Swiss franc,Indian rupee,Chinese renmimbi,US dollar,Turkish lira,Saudi riyal,Indonesian rupiah,UAE dirham,Thai baht,Vietnamese dong,Egyptian pound,Korean won,Euro,Russian ruble,US dollar,South African rand,Chinese renmimbi,Canadian dollar,Australian dollar
2/6/1979,84.95,61.53,148.84,70.85,65.54,103.4,16.33,#N/A,84.95,#N/A,75.1,6.6,87.16,46.46,#N/A,#N/A,33.92,61.53,#N/A,84.95,12.46,#N/A,65.54,45.61
2/7/1979,87.42,62.7,150.43,72.22,67.16,104.31,16.61,#N/A,87.42,#N/A,76.39,6.72,88.66,47.26,#N/A,#N/A,34.51,62.7,#N/A,87.42,12.74,#N/A,67.16,46.55
2/8/1979,87.04,62.63,154.92,72.23,68.61,106.4,17.02,#N/A,87.04,#N/A,78.27,6.88,90.84,48.42,#N/A,#N/A,35.36,62.63,#N/A,87.04,12.85,#N/A,68.61,47.55
2/9/1979,85.74,61.74,149.55,71.25,65.92,102.63,16.36,#N/A,85.74,#N/A,75.27,6.62,87.36,46.57,#N/A,#N/A,34,61.74,#N/A,85.74,12.33,#N/A,65.92,45.76
2/12/1979,84.87,61.21,153.46,70.46,67.41,105.08,16.73,#N/A,84.87,#N/A,77.88,6.82,90.96,48.17,#N/A,#N/A,34.76,61.21,#N/A,84.87,12.66,#N/A,67.41,46.88
2/13/1979,83.6,60.43,150.06,69.43,65.83,102.83,16.36,#N/A,83.6,#N/A,76.15,6.67,88.94,47.1,#N/A,#N/A,33.99,60.43,#N/A,83.6,12.33,#N/A,65.83,45.7
2/14/1979,83.62,60.49,146.74,69.39,64.07,100.65,15.92,#N/A,83.62,#N/A,74.1,6.49,86.55,45.83,#N/A,#N/A,33.07,60.49,#N/A,83.62,11.97,#N/A,64.07,44.73
2/15/1979,86.08,62.17,151.39,71.47,66.18,103.22,16.42,#N/A,86.08,#N/A,76.44,6.69,89.29,47.28,#N/A,#N/A,34.12,62.17,#N/A,86.08,12.39,#N/A,66.18,46.12
2/16/1979,85.84,62.1,152.02,71.3,66.39,104.2,16.49,#N/A,85.84,#N/A,76.76,6.72,89.66,47.48,#N/A,#N/A,34.26,62.1,#N/A,85.84,12.4,#N/A,66.39,46.29
2/19/1979,86.21,62.36,154.31,71.61,67.47,105.61,16.74,#N/A,86.21,#N/A,77.8,6.82,90.77,48.65,#N/A,#N/A,34.78,62.36,#N/A,86.21,12.61,#N/A,67.47,47
